cve_id,asset,cvss_score,epss_score,in_kev,risk_description
CVE-2025-24990,Windows Server 2022,7.8,0.02763,True,CVE CVE-2025-24990 affects Windows Server 2022. EPSS score 0.0276 indicates moderate exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2025-24990,Windows 10 Pro,7.8,0.02763,True,CVE CVE-2025-24990 affects Windows 10 Pro. EPSS score 0.0276 indicates moderate exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2025-62215,Windows Server 2022,7.0,0.02374,True,CVE CVE-2025-62215 affects Windows Server 2022. EPSS score 0.0237 indicates moderate exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2025-62215,Windows 10 Pro,7.0,0.02374,True,CVE CVE-2025-62215 affects Windows 10 Pro. EPSS score 0.0237 indicates moderate exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2025-24993,Windows Server 2022,7.8,0.02249,True,CVE CVE-2025-24993 affects Windows Server 2022. EPSS score 0.0225 indicates moderate exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2025-24993,Windows 10 Pro,7.8,0.02249,True,CVE CVE-2025-24993 affects Windows 10 Pro. EPSS score 0.0225 indicates moderate exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2025-24985,Windows Server 2022,7.8,0.02232,True,CVE CVE-2025-24985 affects Windows Server 2022. EPSS score 0.0223 indicates moderate exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2025-24985,Windows 10 Pro,7.8,0.02232,True,CVE CVE-2025-24985 affects Windows 10 Pro. EPSS score 0.0223 indicates moderate exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2025-62221,Windows Server 2022,7.8,0.02229,True,CVE CVE-2025-62221 affects Windows Server 2022. EPSS score 0.0223 indicates moderate exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2025-62221,Windows 10 Pro,7.8,0.02229,True,CVE CVE-2025-62221 affects Windows 10 Pro. EPSS score 0.0223 indicates moderate exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2025-32701,Windows Server 2022,7.8,0.01857,True,CVE CVE-2025-32701 affects Windows Server 2022. EPSS score 0.0186 indicates moderate exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2025-32701,Windows 10 Pro,7.8,0.01857,True,CVE CVE-2025-32701 affects Windows 10 Pro. EPSS score 0.0186 indicates moderate exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2025-6554,Google Chrome,8.1,0.0158,True,CVE CVE-2025-6554 affects Google Chrome. EPSS score 0.0158 indicates moderate exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
